Gene,GTPV_SNPs/Kb,GTPV_Mutations/Kb,SPPV_SNPs/Kb,SPPV_Mutations/Kb
LSDV001,21.7,79.5,6.0,24.2
LSDV002,28.8,126.6,12.3,72.4
LSDV003,42.2,166.0,10.6,44.5
LSDV004,10.9,39.9,13.3,120.0
LSDV005,19.3,58.0,9.8,74.4
LSDV006,11.5,48.9,4.3,5.7
LSDV007,16.5,61.4,5.6,31.8
LSDV008,36.5,95.4,15.6,79.3
LSDV009,38.4,129.5,18.9,72.4
LSDV010,22.3,84.5,8.1,125.0
LSDV011,30.4,122.4,8.0,19.5
LSDV012,47.4,171.3,6.2,35.9
LSDV013,39.5,166.8,13.5,106.8
LSDV014,23.0,108.6,11.1,114.8
LSDV015,11.8,39.2,10.2,26.5
LSDV016,24.0,85.6,7.4,33.3
LSDV017,18.4,53.4,7.5,30.1
LSDV018,15.9,56.7,8.9,8.9
LSDV019,15.3,58.8,7.0,32.1
LSDV020,28.9,109.3,8.3,20.7
LSDV021,29.6,78.8,12.5,20.8
LSDV022,15.1,33.1,6.3,91.8
LSDV023,13.6,86.4,0.0,0.0
LSDV024,16.7,62.3,1.5,1.5
LSDV025,37.8,126.5,5.2,20.0
LSDV026,40.1,158.2,12.4,108.5
LSDV027,13.2,51.7,4.7,37.9
LSDV028,12.6,56.6,6.3,8.1
LSDV029,13.3,13.3,6.8,20.5
LSDV030,22.8,66.2,4.5,46.8
LSDV031,16.6,60.5,0.0,0.0
LSDV032,15.5,61.9,1.4,21.1
LSDV033,14.0,47.4,5.9,23.6
LSDV034,11.2,46.8,7.5,35.6
LSDV035,5.3,33.5,3.3,3.3
LSDV036,8.2,34.4,3.3,5.0
LSDV037,11.2,34.1,2.9,21.2
LSDV038,18.8,60.2,2.5,26.2
LSDV039,17.8,74.5,3.6,19.5
LSDV040,20.8,62.5,0.0,0.0
LSDV041,10.2,28.0,2.5,5.1
LSDV042,22.3,74.1,5.4,10.2
LSDV043,15.7,59.7,7.4,9.5
LSDV044,4.6,37.0,4.6,41.1
LSDV045,20.3,78.9,2.4,10.8
LSDV046,8.4,25.3,0.0,0.0
LSDV047,10.1,52.1,4.2,22.8
LSDV048,9.2,33.8,3.8,16.1
LSDV049,14.3,59.1,5.4,30.0
LSDV050,15.7,48.7,5.6,30.7
LSDV051,7.5,35.9,3.0,3.0
LSDV052,18.0,75.1,0.0,0.0
LSDV053,18.4,68.2,2.6,28.9
LSDV054,10.7,32.0,3.8,13.7
LSDV055,15.6,72.9,0.0,0.0
LSDV056,17.1,81.9,1.9,3.8
LSDV057,12.5,41.0,4.5,66.0
LSDV058,15.3,60.0,10.2,17.9
LSDV059,17.6,66.5,4.9,7.9
LSDV060,23.0,106.9,0.0,0.0
LSDV061,14.3,32.3,7.2,7.2
LSDV062,12.4,42.3,2.1,5.2
LSDV063,6.6,23.6,1.3,1.3
