gene,strand,dN,dS,pN_G,pS_G,DoS_G,pN_S,pS_S,DoS_S
LSDV001,-,3,8,0,6,0.2727272727272727,0,1,0.2727272727272727
LSDV002,-,1,0,3,0,0.0,13,0,0.0
LSDV003,-,1,0,36,32,0.47058823529411764,10,0,0.0
LSDV004,-,10,1,13,19,0.5028409090909091,1,1,0.40909090909090906
LSDV005,+,12,8,15,11,0.023076923076923106,3,28,0.5032258064516129
LSDV006,-,10,9,25,21,-0.017162471395881007,4,0,-0.4736842105263158
LSDV007,-,12,10,18,28,0.15415019762845844,11,3,-0.24025974025974028
LSDV008,-,14,9,33,20,-0.013945857260049155,33,14,-0.09343200740055502
LSDV009,-,0,0,15,0,,0,0,
LSDV010,-,11,4,19,16,0.19047619047619047,14,1,-0.20000000000000007
LSDV011,-,1,1,6,7,0.038461538461538436,13,17,0.06666666666666665
LSDV012,-,8,6,33,12,-0.16190476190476188,3,1,-0.1785714285714286
LSDV013,-,0,1,21,0,-1.0,16,2,-0.8888888888888888
LSDV014,-,6,3,6,3,0.0,0,0,
LSDV015,-,8,13,24,14,-0.2506265664160401,1,31,0.34970238095238093
LSDV016,-,5,5,19,0,-0.5,2,0,-0.5
LSDV017,-,0,1,24,6,-0.8,4,1,-0.8
LSDV018,-,1,6,7,19,-0.12637362637362637,1,17,0.0873015873015873
LSDV019,-,13,13,23,19,-0.04761904761904767,6,19,0.26
LSDV020,-,5,18,14,33,-0.08048103607770582,1,5,0.050724637681159424
LSDV021,-,9,9,4,9,0.1923076923076923,14,0,-0.5
LSDV022,-,7,0,0,0,,4,1,0.19999999999999996
LSDV023,-,3,0,7,6,0.46153846153846156,0,7,1.0
LSDV024,-,4,11,18,22,-0.18333333333333335,0,0,
LSDV025,-,4,19,8,48,0.031055900621118016,3,1,-0.5760869565217391
LSDV026,-,5,0,25,3,0.1071428571428571,4,3,0.4285714285714286
LSDV027,-,19,30,42,72,0.019334049409237386,5,13,0.10997732426303852
LSDV028,-,6,13,15,34,0.009667024704618665,21,20,-0.19640564826700901
LSDV029,-,1,4,3,1,-0.55,0,0,
LSDV030,-,2,0,2,0,0.0,8,0,0.0
LSDV031,+,5,2,6,7,0.25274725274725274,2,1,0.04761904761904767
LSDV032,-,11,25,19,66,0.08202614379084969,3,0,-0.6944444444444444
LSDV033,-,4,4,25,61,0.20930232558139533,1,0,-0.5
LSDV034,-,5,8,6,28,0.2081447963800905,5,1,-0.44871794871794873
LSDV035,+,4,0,3,0,0.0,3,0,0.0
LSDV036,-,4,9,14,3,-0.5158371040723981,17,13,-0.25897435897435894
LSDV037,+,8,22,6,53,0.16497175141242937,6,2,-0.48333333333333334
LSDV038,+,2,13,2,23,0.05333333333333333,0,0,
LSDV039,-,20,54,69,122,-0.09098627423234751,25,26,-0.21992580816110224
LSDV040,+,3,4,7,6,-0.10989010989010989,4,0,-0.5714285714285714
LSDV041,-,10,5,8,18,0.3589743589743589,0,0,
LSDV042,-,25,15,63,62,0.121,14,5,-0.11184210526315785
LSDV043,-,2,13,10,41,-0.06274509803921569,3,2,-0.4666666666666667
LSDV044,-,2,1,9,6,0.06666666666666665,2,1,0.0
LSDV045,-,12,9,24,21,0.03809523809523807,13,10,0.006211180124223614
LSDV046,-,2,9,0,23,0.18181818181818182,0,0,
LSDV047,-,5,12,7,30,0.10492845786963434,2,11,0.14027149321266968
LSDV048,-,3,17,12,47,-0.053389830508474595,3,13,-0.037500000000000006
LSDV049,+,4,15,18,75,0.016977928692699484,9,11,-0.23947368421052634
LSDV050,-,10,18,12,74,0.21760797342192692,4,30,0.23949579831932774
LSDV051,+,4,6,12,16,-0.028571428571428525,0,0,
LSDV052,-,1,4,2,6,-0.04999999999999999,1,1,-0.3
LSDV053,-,2,5,3,14,0.10924369747899157,1,1,-0.2142857142857143
LSDV054,+,11,18,12,32,0.10658307210031348,1,24,0.3393103448275862
LSDV055,+,0,5,0,4,0.0,0,1,0.0
LSDV056,+,3,5,8,16,0.041666666666666685,0,2,0.375
LSDV057,-,11,18,25,42,0.00617601646937721,11,18,0.0
LSDV058,+,1,8,6,24,-0.0888888888888889,1,1,-0.3888888888888889
LSDV059,+,16,16,24,31,0.06363636363636366,17,2,-0.39473684210526316
LSDV060,+,6,12,9,26,0.0761904761904762,0,3,0.3333333333333333
LSDV061,+,4,7,12,3,-0.4363636363636364,0,0,
LSDV062,-,6,9,12,58,0.2285714285714286,1,3,0.15000000000000002
LSDV063,+,6,13,9,24,0.0430622009569378,0,3,0.3157894736842105
LSDV064,+,5,1,7,0,-0.16666666666666663,0,1,0.8333333333333334
LSDV065,+,2,4,0,9,0.3333333333333333,0,0,
LSDV066,+,6,11,14,13,-0.16557734204793023,2,1,-0.31372549019607837
LSDV067,+,5,8,12,23,0.041758241758241776,0,14,0.38461538461538464
LSDV068,+,4,5,0,28,0.4444444444444444,0,1,0.4444444444444444
LSDV069,+,3,6,0,11,0.3333333333333333,1,0,-0.6666666666666667
LSDV070,-,12,0,8,16,0.6666666666666667,195,0,0.0
LSDV071,+,11,50,18,185,0.09165791811354276,14,30,-0.13785394932935915
LSDV072,-,2,5,0,0,,1,0,-0.7142857142857143
LSDV073,+,1,15,8,19,-0.23379629629629628,0,0,
LSDV074,-,8,6,7,33,0.3964285714285714,1,0,-0.4285714285714286
LSDV075,-,12,41,12,78,0.09308176100628932,1,20,0.17879604672057503
LSDV076,+,18,17,30,48,0.1296703296703296,4,1,-0.2857142857142858
LSDV077,+,2,10,3,14,-0.009803921568627472,4,11,-0.1
LSDV078,+,2,4,0,4,0.3333333333333333,0,0,
LSDV079,+,10,48,30,83,-0.09307293256026855,3,31,0.08417849898580122
LSDV080,-,5,4,6,16,0.2828282828282829,1,0,-0.4444444444444444
LSDV081,+,7,6,8,24,0.28846153846153844,18,0,-0.46153846153846156
LSDV082,+,4,12,6,31,0.08783783783783783,2,23,0.16999999999999998
LSDV083,+,3,21,6,72,0.04807692307692307,11,12,-0.3532608695652174
LSDV084,+,8,26,2,44,0.1918158567774936,3,27,0.13529411764705881
LSDV085,+,0,11,2,12,-0.14285714285714285,1,1,-0.5
LSDV086,+,6,13,8,29,0.09957325746799428,10,13,-0.11899313501144165
LSDV087,+,7,6,22,22,0.038461538461538436,1,7,0.41346153846153844
LSDV088,-,15,0,1,3,0.75,2,0,0.0
LSDV089,-,4,11,5,37,0.14761904761904762,2,0,-0.7333333333333334
LSDV090,-,3,27,3,51,0.04444444444444445,2,7,-0.1222222222222222
LSDV091,-,5,9,3,18,0.2142857142857143,16,2,-0.5317460317460316
LSDV092,-,1,9,7,22,-0.1413793103448276,2,0,-0.9
LSDV093,-,1,2,3,3,-0.16666666666666669,0,0,
LSDV094,-,5,28,8,63,0.03883909517712335,4,9,-0.1561771561771562
LSDV095,-,9,6,19,6,-0.16000000000000003,0,13,0.6
LSDV096,+,2,12,12,7,-0.48872180451127817,5,3,-0.48214285714285715
LSDV097,-,9,13,17,12,-0.17711598746081497,15,1,-0.5284090909090908
LSDV098,-,8,33,30,53,-0.16632383191301792,1,28,0.16063919259882253
LSDV099,+,5,13,8,11,-0.14327485380116955,4,3,-0.2936507936507936
LSDV100,-,2,3,9,6,-0.19999999999999996,1,0,-0.6
LSDV101,-,24,36,29,115,0.19861111111111113,10,36,0.18260869565217394
LSDV102,+,11,20,9,32,0.13532651455546815,0,1,0.3548387096774194
LSDV103,-,5,10,32,20,-0.2820512820512821,3,0,-0.6666666666666667
LSDV104,-,5,3,8,0,-0.375,0,13,0.625
LSDV105,-,0,5,0,19,0.0,0,0,
LSDV106,-,0,2,0,0,,0,0,
LSDV107,-,3,7,11,14,-0.14,3,0,-0.7
LSDV108,-,9,17,12,19,-0.04094292803970223,5,6,-0.10839160839160839
LSDV109,-,9,8,22,18,-0.020588235294117685,6,1,-0.32773109243697474
LSDV110,+,8,8,23,35,0.10344827586206895,4,4,0.0
LSDV111,-,2,4,6,20,0.10256410256410253,0,0,
LSDV112,+,14,9,32,41,0.17033948779035146,2,12,0.46583850931677023
LSDV113,-,3,4,12,11,-0.09316770186335405,1,11,0.34523809523809523
LSDV114,+,3,5,14,2,-0.5,0,0,
LSDV115,+,7,18,17,38,-0.029090909090909056,15,10,-0.31999999999999995
LSDV116,+,8,69,18,167,0.0065988065988066,3,19,-0.03246753246753245
LSDV117,-,9,6,14,9,-0.008695652173913104,5,0,-0.4
LSDV118,-,0,5,11,6,-0.6470588235294118,4,10,-0.2857142857142857
LSDV119,-,1,11,2,29,0.018817204301075266,6,4,-0.5166666666666666
LSDV120,-,1,1,1,3,0.25,0,0,
LSDV121,-,2,12,3,18,0.0,0,6,0.14285714285714285
LSDV122,+,11,4,22,12,0.08627450980392148,11,1,-0.18333333333333335
LSDV123,+,7,8,17,27,0.08030303030303032,12,10,-0.07878787878787874
LSDV124,+,9,12,17,15,-0.10267857142857145,2,0,-0.5714285714285714
LSDV125,+,5,10,6,11,-0.019607843137254943,0,9,0.3333333333333333
LSDV126,+,12,9,11,11,0.0714285714285714,15,0,-0.4285714285714286
LSDV127,+,7,12,18,29,-0.01455767077267639,3,0,-0.631578947368421
LSDV128,-,15,11,31,30,0.06872635561160145,0,7,0.5769230769230769
LSDV129,+,10,5,10,17,0.2962962962962963,1,11,0.5833333333333333
LSDV130,+,5,3,14,8,-0.011363636363636354,0,2,0.625
LSDV131,+,4,15,2,30,0.14802631578947367,9,9,-0.2894736842105263
LSDV132,+,17,0,3,0,0.0,16,0,0.0
LSDV133,+,525,15,43,91,0.6513266998341625,24,19,0.4140826873385013
LSDV134,+,78,108,153,232,0.02195224130708001,61,70,-0.046294016252154624
LSDV135,+,32,17,28,28,0.15306122448979587,3,6,0.31972789115646255
LSDV136,+,5,0,6,6,0.5,11,0,0.0
LSDV137,+,7,17,13,55,0.1004901960784314,0,23,0.2916666666666667
LSDV138,+,9,8,5,9,0.1722689075630252,3,1,-0.22058823529411764
LSDV139,+,9,17,14,29,0.020572450805008913,2,2,-0.15384615384615385
LSDV140,+,12,11,22,44,0.18840579710144928,3,3,0.021739130434782594
