GTPV_gene_ID	start	end	SPPV_gene_ID	start	end	LSDV_gene_ID	start	end
GTPV_gp001	2	828	SPPV_01	220	877	LSDV001	240	719
inferred	829	1515	inferred	878	1522	LSDV002	790	1185
GTPV_gp002	1516	2246	SPPV_02	1523	2462	LSDV003	1435	2157
inferred	2247	2522	inferred	2463	2537	LSDV004	2227	2400
GTPV_gp003	2523	3039	SPPV_03	2538	3048	LSDV005	2452	2964
GTPV_gp004	3050	3745	SPPV_04	3059	3754	LSDV006	2975	3670
GTPV_gp005	3767	4834	SPPV_05	3777	4844	LSDV007	3692	4759
GTPV_gp006	4897	5748	SPPV_06	4926	5754	LSDV008	4842	5669
GTPV_gp007	5749	6156	SPPV_07	5755	6385	LSDV009	5702	6394
GTPV_gp008	6365	6991	SPPV_08	6462	6953	LSDV010	6448	6936
GTPV_gp009	7041	8186	SPPV_09	7001	8129	LSDV011	6980	8113
GTPV_gp010	8287	8928	SPPV_10	8233	8870	LSDV012	8219	8854
inferred	8929	10011	inferred	8871	9972	LSDV013	8893	9918
GTPV_gp011	10012	10313	SPPV_11	9971	10246	LSDV014	9978	10247
GTPV_gp012	10300	10809	SPPV_12	10231	10718	LSDV015	10234	10719
GTPV_gp013	10827	11117	SPPV_13	10724	11027	LSDV016	10757	11026
GTPV_gp014	11108	11640	SPPV_14	11018	11549	LSDV017	11017	11547
GTPV_gp015	11679	12119	SPPV_15	11591	12031	LSDV018	11586	12026
GTPV_gp016	12162	13862	SPPV_16	12073	13788	LSDV019	12075	13786
GTPV_gp017	13927	14892	SPPV_17	13859	14824	LSDV020	13851	14816
GTPV_gp018	14928	15125	SPPV_18	14864	15103	LSDV021	14857	15117
GTPV_gp019	15236	15565	SPPV_19	15173	15485	LSDV022	15158	15502
GTPV_gp020	15767	15986	SPPV_20	15676	15942	LSDV023	15733	15951
GTPV_gp021	16067	16724	SPPV_21	16023	16675	LSDV024	16029	16679
GTPV_gp022	16702	18036	SPPV_22	16653	17987	LSDV025	16657	18000
inferred	18037	18971		17988	18869	LSDV026	18122	18943
GTPV_gp023	18970	20941	SPPV_23	18868	20790	LSDV027	18952	20868
GTPV_gp024	20948	22060	SPPV_24	20797	21912	LSDV028	20875	21987
GTPV_gp24.5	22087	22236	SPPV_25	22114	22552	LSDV029	22189	22626
GTPV_gp025	22262	22699	SPPV_26	22626	23286	LSDV030	22703	23362
GTPV_gp026	22772	23432	SPPV_27	23358	23674	LSDV031	23436	23750
GTPV_gp027	23507	25250	SPPV_28	23678	25102	LSDV032	23754	25178
GTPV_gp029	25247	27454	SPPV_29	25099	27306	LSDV033	25175	27382
GTPV_gp030	27466	27999	SPPV_30	27318	27851	LSDV034	27394	27927
GTPV_gp031	28059	28669	SPPV_31	27910	28494	LSDV036	27989	28594
GTPV_gp032	28753	29886	SPPV_32	28579	29712	LSDV035	28593	29801
GTPV_gp033	29896	31598	SPPV_33	29722	31422	LSDV037	29810	31510
GTPV_gp034	31608	32405	SPPV_34	31432	32229	LSDV038	31517	32317
GTPV_gp035	32402	35434	SPPV_35	32226	35258	LSDV039	32314	35346
GTPV_gp036	35468	35755	SPPV_36	35292	35579	LSDV040	35380	35667
GTPV_gp037	35752	36144	SPPV_37	35576	35968	LSDV041	35664	36056
GTPV_gp038	36131	38185	SPPV_38	35955	38009	LSDV042	36043	38097
GTPV_gp039	38291	39244	SPPV_39	38115	39059	LSDV043	38203	39147
GTPV_gp040	39251	39466	SPPV_40	39066	39281	LSDV044	39154	39372
GTPV_gp041	39467	40297	SPPV_41	39282	40112	LSDV045	39373	40203
GTPV_gp042	40344	40580	SPPV_42	40172	40408	LSDV046	40248	40484
GTPV_gp043	40598	41787	SPPV_43	40426	41611	LSDV047	40502	41686
