"Gene","Start","End","Length_kb","SNV_count","SNVs_per_kb"
"LSDV002",390,1231,0.842,80,95.01
"LSDV004",1768,2342,0.575,160,278.26
"LSDV009",5427,6182,0.756,446,589.95
"LSDV012",7759,8594,0.836,174,208.13
"LSDV013",7422,8557,1.136,227,199.82
"LSDV019",11558,13246,1.689,371,219.66
"LSDV026",17199,18470,1.272,421,330.97
"LSDV067",56791,57381,0.591,67,113.37
"LSDV132",118888,119899,1.012,543,536.56
"LSDV134",121407,127430,6.024,1308,217.13
"LSDV136",128515,129451,0.937,272,290.29
"LSDV141",132499,133176,0.678,73,107.67
"LSDV144",134652,136295,1.644,379,230.54
"LSDV145",136343,138247,1.905,406,213.12
"LSDV147",139663,141159,1.497,244,162.99
"LSDV148",141206,142549,1.344,192,142.86
"LSDV151",144149,145807,1.659,315,189.87
"LSDV153",147380,147889,0.51,121,237.25
"LSDV155",148325,149466,1.142,55,48.16
