,2.1_KC951854.1,2.1_MH381810.1,2.1_MN072620.1,2.1_MN072621.1,2.1_MW020570.1,2.1_PV167794.1,2.2_AY077835.1,2.2_AY077836.1,2.2_KX576657.1,2.2_MN072622.1,2.2_NC_004003.1,2.3_MN072623.1,2.3_MN072624.1,2.3_MN072625.1
2.1_KC951854.1,,100.0,100.0,100.0,100.0,100.0,99.4,99.4,99.4,99.2,99.4,98.4,98.1,98.4
2.1_MH381810.1,100.0,,100.0,100.0,100.0,100.0,99.4,99.4,99.4,99.2,99.4,98.4,98.1,98.4
2.1_MN072620.1,100.0,100.0,,100.0,100.0,100.0,99.4,99.4,99.4,99.2,99.4,98.4,98.1,98.4
2.1_MN072621.1,100.0,100.0,100.0,,100.0,100.0,99.4,99.4,99.4,99.2,99.4,98.4,98.1,98.4
2.1_MW020570.1,100.0,100.0,100.0,100.0,,100.0,99.4,99.4,99.4,99.2,99.4,98.4,98.1,98.4
2.1_PV167794.1,100.0,100.0,100.0,100.0,100.0,,99.4,99.4,99.4,99.2,99.4,98.4,98.1,98.4
2.2_AY077835.1,99.4,99.4,99.4,99.4,99.4,99.4,,100.0,100.0,99.5,100.0,98.7,98.4,98.7
2.2_AY077836.1,99.4,99.4,99.4,99.4,99.4,99.4,100.0,,100.0,99.5,100.0,98.7,98.4,98.7
2.2_KX576657.1,99.4,99.4,99.4,99.4,99.4,99.4,100.0,100.0,,99.5,100.0,98.7,98.4,98.7
2.2_MN072622.1,99.2,99.2,99.2,99.2,99.2,99.2,99.5,99.5,99.5,,99.5,98.9,98.6,98.9
2.2_NC_004003.1,99.4,99.4,99.4,99.4,99.4,99.4,100.0,100.0,100.0,99.5,,98.7,98.4,98.7
2.3_MN072623.1,98.4,98.4,98.4,98.4,98.4,98.4,98.7,98.7,98.7,98.9,98.7,,99.5,100.0
2.3_MN072624.1,98.1,98.1,98.1,98.1,98.1,98.1,98.4,98.4,98.4,98.6,98.4,99.5,,99.5
2.3_MN072625.1,98.4,98.4,98.4,98.4,98.4,98.4,98.7,98.7,98.7,98.9,98.7,100.0,99.5,
