,3.1_MN072626.1,3.1_MN072627.1,3.2.1_MN072629.1,3.2.1_MW167071.1,3.2.1_OR239060.1,3.2.2_AY077832.1,3.2.2_NC_004002.1,3.2.2_PP886236.1,3.2.2_PP886237.1,3.2.2_PP886238.1,3.2.2_PP886239.1,3.3_AY077833.1,3.3_AY077834.1,3.3_MN072630.1,3.3_MN072631.1,3.3_MT137384.1,3.3_MW020571.1,3.3_MW167070.1,3.3_ON961655.1,3.3_ON961656.1,3.3_ON961657.1,3.3_OQ434235.1,3.3_OQ434236.1,3.3_OQ434237.1,3.3_OQ434238.1,3.3_OQ434239.1,3.3_PQ014465.1,3.3_PV167793.1,3.3_PV434148.1,NA_MN072628.1
3.1_MN072626.1,,100.0,99.8,99.8,99.4,99.8,99.8,99.8,99.8,99.8,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.4,99.4,99.4,100.0,99.4,99.4,99.4,99.4,99.4,99.6,99.4,99.8
3.1_MN072627.1,100.0,,99.8,99.8,99.4,99.8,99.8,99.8,99.8,99.8,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.6,99.4,99.4,99.4,100.0,99.4,99.4,99.4,99.4,99.4,99.6,99.4,99.8
3.2.1_MN072629.1,99.8,99.8,,100.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.4,99.4,99.4,99.8,99.4,99.4,99.4,99.4,99.4,99.5,99.2,99.7
3.2.1_MW167071.1,99.8,99.8,100.0,,99.8,100.0,100.0,100.0,100.0,100.0,100.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.4,99.4,99.4,99.8,99.4,99.4,99.4,99.4,99.4,99.5,99.2,99.7
3.2.1_OR239060.1,99.4,99.4,99.8,99.8,,99.8,99.8,99.8,99.8,99.8,99.8,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.1,99.1,99.1,99.5,99.1,99.1,99.1,99.1,99.1,99.4,99.1,99.4
3.2.2_AY077832.1,99.8,99.8,100.0,100.0,99.8,,100.0,100.0,100.0,100.0,100.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.4,99.4,99.4,99.8,99.4,99.4,99.4,99.4,99.4,99.5,99.2,99.7
3.2.2_NC_004002.1,99.8,99.8,100.0,100.0,99.8,100.0,,100.0,100.0,100.0,100.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.4,99.4,99.4,99.8,99.4,99.4,99.4,99.4,99.4,99.5,99.2,99.7
3.2.2_PP886236.1,99.8,99.8,100.0,100.0,99.8,100.0,100.0,,100.0,100.0,100.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.4,99.4,99.4,99.8,99.4,99.4,99.4,99.4,99.4,99.5,99.2,99.7
3.2.2_PP886237.1,99.8,99.8,100.0,100.0,99.8,100.0,100.0,100.0,,100.0,100.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.4,99.4,99.4,99.8,99.4,99.4,99.4,99.4,99.4,99.5,99.2,99.7
3.2.2_PP886238.1,99.8,99.8,100.0,100.0,99.8,100.0,100.0,100.0,100.0,,100.0,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.4,99.4,99.4,99.8,99.4,99.4,99.4,99.4,99.4,99.5,99.2,99.7
3.2.2_PP886239.1,99.6,99.6,100.0,100.0,99.8,100.0,100.0,100.0,100.0,100.0,,99.4,99.4,99.4,99.4,99.4,99.4,99.4,99.2,99.2,99.2,99.7,99.2,99.2,99.2,99.2,99.2,99.5,99.2,99.5
