"Gene","Start","End","Length_kb","SNV_count","SNVs_per_kb"
"LSDV002",390,1231,0.842,60,71.26
"LSDV004",1768,2342,0.575,332,577.39
"LSDV009",5427,6182,0.756,116,153.44
"LSDV012",7759,8594,0.836,293,350.48
"LSDV013",7422,8557,1.136,455,400.53
"LSDV019",11558,13246,1.689,389,230.31
"LSDV026",17199,18470,1.272,231,181.6
"LSDV067",56791,57381,0.591,138,233.5
"LSDV132",118888,119899,1.012,571,564.23
"LSDV134",121407,127430,6.024,1547,256.81
"LSDV136",128515,129451,0.937,227,242.26
"LSDV141",132499,133176,0.678,187,275.81
"LSDV144",134652,136295,1.644,380,231.14
"LSDV145",136343,138247,1.905,285,149.61
"LSDV147",139663,141159,1.497,306,204.41
"LSDV148",141206,142549,1.344,357,265.62
"LSDV151",144149,145807,1.659,304,183.24
"LSDV153",147380,147889,0.51,46,90.2
"LSDV155",148325,149466,1.142,352,308.23
