"Gene","SNVs_per_kb_GTPV","SNVs_per_kb_SPPV","Difference"
"LSDV002",71.26,95.01,23.75
"LSDV004",577.39,278.26,-299.13
"LSDV009",153.44,589.95,436.51
"LSDV012",350.48,208.13,-142.35
"LSDV013",400.53,199.82,-200.71
"LSDV019",230.31,219.66,-10.65
"LSDV026",181.6,330.97,149.37
"LSDV067",233.5,113.37,-120.13
"LSDV132",564.23,536.56,-27.6700000000001
"LSDV134",256.81,217.13,-39.68
"LSDV136",242.26,290.29,48.03
"LSDV141",275.81,107.67,-168.14
"LSDV144",231.14,230.54,-0.599999999999994
"LSDV145",149.61,213.12,63.51
"LSDV147",204.41,162.99,-41.42
"LSDV148",265.62,142.86,-122.76
"LSDV151",183.24,189.87,6.63
"LSDV153",90.2,237.25,147.05
"LSDV155",308.23,48.16,-260.07
