"Gene","SNVs_per_kb_GTPV","SNVs_per_kb_SPPV","Difference"
"LSDV002",53.44,47.51,-5.93
"LSDV004",405.22,142.61,-262.61
"LSDV009",120.37,324.07,203.7
"LSDV012",259.57,132.78,-126.79
"LSDV013",288.73,130.28,-158.45
"LSDV019",184.13,142.69,-41.44
"LSDV026",135.22,191.82,56.6
"LSDV067",182.74,86.29,-96.45
"LSDV132",376.48,343.87,-32.61
"LSDV134",198.04,159.69,-38.35
"LSDV136",186.77,196.37,9.59999999999999
"LSDV141",215.34,89.97,-125.37
"LSDV144",176.4,159.98,-16.42
"LSDV145",118.64,146.46,27.82
"LSDV147",162.32,112.22,-50.1
"LSDV148",209.82,99.7,-110.12
"LSDV151",150.69,125.38,-25.31
"LSDV153",72.55,168.63,96.08
"LSDV155",237.3,35.9,-201.4
